num_layers,training_hours,flops_per_hour,energy_kwh
42,34.775836160685664,97.10553004711163,21.00000103763412
32,2.784495588294165,348.89284722896645,1.8578860252131761
18,37.62193788319221,312.84532040072116,17.805091331346848
46,39.82719214093087,320.2629167465974,48.49435231288149
11,36.14884142635239,122.15835637484066,6.6270028587398855
24,38.47801371867699,123.99631389571368,15.899671297395667
42,39.69380214290787,118.19328859496318,25.47891874014401
22,9.354236872436845,95.13877187452431,2.973762814022474
26,11.695357938087488,331.3045995552116,9.332860305975396
14,30.60353177670842,425.5277837722067,16.02048538292121
14,43.62364119696951,364.915560141564,20.3933815449737
27,15.519337659083494,398.12588054266615,13.171325572758551
39,28.444567100265193,208.3512302517479,23.891489332641427
43,32.94164801231379,330.4971397322791,40.500933976145646
27,21.967558561704365,183.57575781793952,10.383924794542459
6,34.40466660562799,267.4972647646336,5.755904327561834
25,43.23420365137822,246.00107480208254,25.238715153106345
5,30.144823348637285,96.67470112048865,4.375698706004328
27,26.13960044094507,199.6685925644591,12.423027493039037
47,21.340372080946103,482.27291498635196,32.827486560440214
33,27.93059786804097,131.80432628032162,15.322966079663933
41,17.379716461373803,75.56383077694947,10.376174052879794
5,19.09540023457134,215.1045045957283,3.6412069288913673
24,25.763230285188264,397.2654905714726,19.229900697951802
36,3.664407838563806,295.2526325921864,3.0428693818210313
15,11.378706068927826,343.67766534673984,5.255279165295255
25,26.285342254136925,102.95047560559182,10.398881151782103
47,20.997586798981025,313.28461457378353,27.906768410645615
28,16.308749830843006,168.51519350662213,8.658870040097947
30,35.20108399844182,418.80864931783606,32.10791672209376
45,33.45158635165858,318.3564149452607,39.67915891445756
31,8.4197110996857,107.439576109895,4.305611766821251
19,42.23488298023832,41.662173123602216,7.374362434919755
18,24.032622254188368,30.890272550646042,4.970875540299011
47,35.71939327910466,191.99019814856896,32.75499411892092
6,27.724665339725963,140.26705696061362,2.0263102849220562
40,47.89039925638256,326.58416049662895,51.96721335585897
10,36.23914820184408,254.67357913952296,7.077280016534043
24,34.0815719090643,140.34944622263654,14.592964018832532
12,37.48216710491067,83.1265111955863,6.148788777308252
42,7.298579313552307,72.3278837168503,4.333144069110895
21,10.215868175549506,433.6835921488047,7.4059176059424505
7,34.41804390562167,129.30420451838495,2.0343453905163176
28,23.964120638715976,329.3382174763745,18.042444086756305
