num_layers,training_hours,flops_per_hour,energy_kwh
7,1.0889704396378692,134.00863448894785,1.4517821629703993
3,21.336358629105057,181.66394500118076,3.955264990596877
5,17.335297567658177,167.98224454504052,3.5649048555722223
13,1.2387159861405073,155.42973628964938,1.8470077741799757
18,1.5714289614292998,244.1417687870862,3.0396022726433145
9,21.973510536999363,82.4235546794485,3.3642671712321044
5,14.594890088399632,14.280554723062851,1.8377653386405164
21,1.7443972076395782,131.01049155127058,3.085373169343409
18,3.0605081642394514,94.09991016846911,2.8342080745125395
2,21.324692941438997,183.9503573764107,3.266742130479996
10,6.364106088771049,95.69050729467637,2.0146375628370063
21,7.410917569213845,102.12134169463242,3.2118249135224954
23,18.54258842042567,265.2839499349476,5.1885576541496
24,14.3400069966334,150.29693057672247,4.329820817615631
9,7.709145820805584,102.46840407136457,2.8502800130374677
5,1.1689232863018049,202.47944208956218,1.4348748443087191
22,9.02102257378141,194.74104480676053,3.358552980153621
21,18.719701029729023,296.1525735836457,4.899363458178531
17,19.092727428354333,116.17968196409876,3.8712506306206156
22,8.727005814068837,74.38892819306353,3.270986785123123
13,15.915991918087931,208.9119948521488,4.066552114864938
21,2.1786627216634487,224.49384066122448,3.682937882029332
18,1.0944608436983607,188.67739134882325,2.321552016372241
23,21.31287886162283,101.90952901659152,4.552718279364627
17,11.705243296678555,216.03888830372154,3.653283634325622
2,0.9267483771540589,73.54388346106057,0.0038328071323295854
5,18.989671946686165,195.30692028552062,3.3606721443719585
11,15.561193900720038,137.2258336750572,3.618232383714875
6,3.945372316158229,263.67599393253136,2.668398819309391
22,9.04975639469048,298.47028293840424,3.9286663969390196
11,19.644175507831047,285.3751907239949,3.7090267894167104
18,4.2640836901375625,25.115248204849905,1.8941075892302177
20,14.9681654366799,42.24340309949697,4.381205113564956
11,5.12766747756239,69.00294067758571,1.4507000493856326
6,9.876135889211726,150.2571189099637,2.6523757466256654
16,15.29515317649784,260.3043702045261,4.155599695319134
20,2.8255915762814605,122.9422616951171,2.6597135212961907
20,13.876300712600932,256.89912442650257,4.784452206706073
2,6.77796364828795,195.38948861455899,1.831289840970405
15,18.139764004680895,224.00086233038627,4.316109181929564
12,11.165628875834985,140.4067978812742,3.005213307186686
8,17.781534678367,45.41762246637163,2.812164230751401
23,22.687760778361586,75.97910222239715,4.728237107913661
18,23.478798676345086,150.49532720598464,4.745665772671868
19,20.840480369633074,41.557608753064564,4.003597388096821
14,1.2744725170851305,10.579928290669704,1.2268829363435587
23,11.830401365428354,176.1609261886393,4.166219595652455
4,20.435775283974802,80.82027639056147,3.1156459501718277
11,8.557319109500153,120.09171301596234,2.547494783207878
22,0.6968656761335965,220.70750052442514,2.5472220694620176
18,23.47872277642229,81.43194613781797,4.5419676050231805
13,4.153876729427337,50.28372580242211,2.280992409276879
20,2.2280596638085486,288.80371710646523,3.0344233017535616
13,10.783642613812184,94.47799659979627,2.951493523155527
3,4.128480018439944,70.47446035025362,0.5852085866493915
16,10.487590491323319,56.39225246386677,2.6681343699610265
18,15.922722480760218,259.5188748332441,4.072819864045214
19,19.75513161077967,182.1550078010896,4.662167074390107
13,6.975203293827051,63.34451235069813,1.7180994393577727
